Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Home_team_wins
"Mon, Jan 25, 2021",Oklahoma City Thunder,125,Portland Trail Blazers,122,0
"Tue, Jan 26, 2021",Los Angeles Clippers,99,Atlanta Hawks,108,1
"Tue, Jan 26, 2021",Washington Wizards,88,Houston Rockets,107,1
"Tue, Jan 26, 2021",New York Knicks,94,Utah Jazz,108,1
"Wed, Jan 27, 2021",Indiana Pacers,116,Charlotte Hornets,106,0
"Wed, Jan 27, 2021",Detroit Pistons,107,Cleveland Cavaliers,122,1
"Wed, Jan 27, 2021",Sacramento Kings,121,Orlando Magic,107,0
"Wed, Jan 27, 2021",Brooklyn Nets,132,Atlanta Hawks,128,0
"Wed, Jan 27, 2021",Denver Nuggets,109,Miami Heat,82,0
"Wed, Jan 27, 2021",Los Angeles Lakers,106,Philadelphia 76ers,107,1
"Wed, Jan 27, 2021",Milwaukee Bucks,115,Toronto Raptors,108,0
"Wed, Jan 27, 2021",Boston Celtics,106,San Antonio Spurs,110,1
"Wed, Jan 27, 2021",Washington Wizards,106,New Orleans Pelicans,124,1
"Wed, Jan 27, 2021",Oklahoma City Thunder,102,Phoenix Suns,97,0
"Wed, Jan 27, 2021",Dallas Mavericks,104,Utah Jazz,116,1
"Wed, Jan 27, 2021",Minnesota Timberwolves,111,Golden State Warriors,123,1
"Thu, Jan 28, 2021",Portland Trail Blazers,101,Houston Rockets,104,1
"Thu, Jan 28, 2021",Los Angeles Lakers,92,Detroit Pistons,107,1
"Thu, Jan 28, 2021",Los Angeles Clippers,109,Miami Heat,105,0
"Thu, Jan 28, 2021",Golden State Warriors,93,Phoenix Suns,114,1
"Fri, Jan 29, 2021",Indiana Pacers,105,Charlotte Hornets,108,1
"Fri, Jan 29, 2021",Atlanta Hawks,116,Washington Wizards,100,0
"Fri, Jan 29, 2021",Milwaukee Bucks,126,New Orleans Pelicans,131,1
"Fri, Jan 29, 2021",Cleveland Cavaliers,81,New York Knicks,102,1
"Fri, Jan 29, 2021",Sacramento Kings,126,Toronto Raptors,124,0
"Fri, Jan 29, 2021",Philadelphia 76ers,118,Minnesota Timberwolves,94,0
"Fri, Jan 29, 2021",Brooklyn Nets,147,Oklahoma City Thunder,125,0
"Fri, Jan 29, 2021",Los Angeles Clippers,116,Orlando Magic,90,0
