Home,Away,PTS_home,PTS_away,HOME_TEAM_WINS,pts_poss_off1920.x,pts_poss_def1920.x,efg_percent_off1920.x,efg_percent_def1920.x,tov_percent_off1920.x,tov_percent_def1920.x,orb_percent_off1920.x,orb_percent_def1920.x,ft_rate_off1920.x,ft_rate_def1920.x,pts_poss_off1920.y,pts_poss_def1920.y,efg_percent_off1920.y,efg_percent_def1920.y,tov_percent_off1920.y,tov_percent_def1920.y,orb_percent_off1920.y,orb_percent_def1920.y,ft_rate_off1920.y,ft_rate_def1920.y,efg_diff_off,efg_diff_def,tov_diff_off,tov_diff_def,orb_diff_off,orb_diff_def,ft_diff_off,ft_diff_def,pts_poss_off,pts_poss_def,estimate,pred,accuracy
Golden State Warriors,Denver Nuggets,107,105,1,181.89000000000001,206.73000000000002,84.33000000000001,104.94,24.75,30.96,40.95,47.43,36.99000000000001,42.480000000000004,206.64000000000001,204.12,99.09,98.64,25.38,28.71,49.5,48.69,36.36,39.150000000000006,-14.309999999999988,5.849999999999994,-3.960000000000001,5.580000000000002,-7.739999999999995,-2.0700000000000003,-2.1599999999999966,6.1200000000000045,-22.22999999999999,0.09000000000000341,0.36387977635569374,0,0
Utah Jazz,Phoenix Suns,119,105,1,202.68,196.47000000000003,97.38,92.97,27.54,21.15,50.13,42.3,35.82,30.510000000000005,197.37,193.23000000000002,95.67,93.6,24.660000000000004,26.55,41.4,41.85,33.66,43.2,3.780000000000001,-2.700000000000003,0.9899999999999984,-3.510000000000005,8.280000000000001,0.8999999999999986,-7.380000000000003,-3.1499999999999915,9.449999999999989,-0.8999999999999773,0.6112010098770323,1,1
Atlanta Hawks,Orlando Magic,112,116,0,208.07999999999998,201.42000000000002,99.81,92.34,28.35,22.770000000000003,45.629999999999995,47.16,49.68,43.2,201.87,195.75,93.69,97.56,23.580000000000002,27.36,45.81,41.49000000000001,44.55,29.610000000000003,2.25,-1.3499999999999943,0.990000000000002,-0.8099999999999987,4.139999999999986,1.3499999999999943,20.069999999999997,-1.3499999999999943,12.329999999999984,-0.44999999999998863,0.4692608264810409,0,1
Detroit Pistons,New York Knicks,84,90,0,192.42000000000002,203.94,93.15,98.82,26.910000000000004,25.11,46.62,42.75,31.77,41.040000000000006,194.85000000000002,202.41,94.13999999999999,94.41,27.900000000000002,23.040000000000003,47.61,49.230000000000004,35.370000000000005,39.06,-1.259999999999991,4.680000000000007,3.870000000000001,-2.7900000000000027,-2.6100000000000065,-4.859999999999999,-7.290000000000003,5.670000000000002,-9.98999999999998,9.089999999999975,0.6316929806149048,1,0
Chicago Bulls,Houston Rockets,104,125,0,188.64,205.01999999999998,93.87,101.34,31.14,29.88,44.64,44.46000000000001,37.71,43.2,204.3,211.32,100.08,101.07,26.55,26.19,40.5,55.44,41.94,31.14,-7.199999999999989,1.2600000000000051,4.949999999999999,3.3299999999999983,-10.799999999999997,3.960000000000008,6.57,1.2600000000000051,-22.680000000000007,0.7199999999999704,0.44753428585963184,0,1
Los Angeles Lakers,Los Angeles Clippers,87,81,1,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,201.15,204.39000000000001,96.57000000000001,96.66,28.080000000000002,24.75,46.53,46.08,41.85,44.1,6.390000000000015,-2.700000000000003,3.6900000000000013,-2.16,1.4400000000000048,-3.0600000000000023,-8.009999999999998,-9,4.22999999999999,-7.739999999999981,0.6702392998553585,1,1
Portland Trail Blazers,Sacramento Kings,127,102,1,204.3,207.99,96.03,98.55000000000001,19.98,23.4,44.730000000000004,44.370000000000005,31.230000000000004,36,195.12,199.98000000000002,93.42000000000002,96.12,26.37,23.58,46.71,42.120000000000005,38.519999999999996,32.85,-0.09000000000000341,5.1299999999999955,-3.599999999999998,-2.9700000000000024,2.6099999999999994,-2.3399999999999963,-1.6199999999999974,-2.519999999999996,4.319999999999993,12.870000000000005,0.5957137343251105,1,1
Miami Heat,Los Angeles Lakers,93,106,0,199.35000000000002,192.96,101.25,92.69999999999999,31.14,28.71,38.25,45.36,41.31,44.1,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,7.3799999999999955,-10.350000000000023,5.219999999999999,0.2699999999999996,-5.219999999999999,-2.1600000000000037,8.46,8.009999999999998,5.939999999999998,-15.659999999999997,0.4946982223339493,0,1
Los Angeles Lakers,Miami Heat,108,111,0,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,199.35000000000002,192.96,101.25,92.69999999999999,31.14,28.71,38.25,45.36,41.31,44.1,10.350000000000023,-7.3799999999999955,-0.2699999999999996,-5.219999999999999,2.1600000000000037,5.219999999999999,-8.009999999999998,-8.46,15.659999999999997,-5.939999999999998,0.6638792881493879,1,0
Miami Heat,Los Angeles Lakers,96,102,0,199.35000000000002,192.96,101.25,92.69999999999999,31.14,28.71,38.25,45.36,41.31,44.1,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,7.3799999999999955,-10.350000000000023,5.219999999999999,0.2699999999999996,-5.219999999999999,-2.1600000000000037,8.46,8.009999999999998,5.939999999999998,-15.659999999999997,0.4946982223339493,0,1
